from_id,to_id,length_km,resistance_ohm,reactance_ohm,from_is_monitor,to_is_monitor
10kV梧桐线#01水泥杆,10kV梧桐线#02分段开关,1.0,0.27,0.38,0,1
10kV梧桐线#02分段开关,10kV梧桐线#03铁塔,0.8,0.216,0.304,1,0
10kV梧桐线#03铁塔,10kV梧桐线#04联络开关,1.2,0.324,0.456,0,1
10kV梧桐线#04联络开关,10kV梧桐线#05水泥杆,0.9,0.243,0.342,1,0
10kV梧桐线#05水泥杆,10kV梧桐线#06末端环网柜,0.6,0.162,0.228,0,1
10kV梧桐线#04联络开关,10kV梧桐线商业支#01开关,0.7,0.231,0.287,1,1
10kV梧桐线#02分段开关,10kV梧桐线学校支#01开关,1.1,0.363,0.451,1,1
10kV梧桐线学校支#01开关,10kV梧桐线学校支#02杆,0.5,0.165,0.205,1,0
10kV梧桐线学校支#02杆,10kV梧桐线学校支#03箱变,0.6,0.198,0.246,0,1
10kV梧桐线学校支#01开关,10kV梧桐线学校支#04分支开关,0.9,0.297,0.369,1,1
