序号,监测点名称1,设备类型,终端状态,线路状态,预警状态,A相电压(kV),A相电流(A),A相电压相位,B相电压(kV),B相电流(A),B相电压相位,C相电压(kV),C相电流(A),C相电压相位,量测时间
1,10kV梧桐线#02分段开关,分段负荷开关FTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
2,10kV梧桐线#04联络开关,联络开关FTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
3,10kV梧桐线#06末端环网柜,环网柜DTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
4,10kV梧桐线商业支#01开关,分支分段开关FTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
5,10kV梧桐线学校支#01开关,分支分段开关FTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
6,10kV梧桐线学校支#03箱变,箱变TTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
7,10kV梧桐线学校支#04分支开关,分支分段开关FTU,正常,正常,正常,10.2,18.0,0.0,10.18,17.6,-120.0,10.22,18.3,120.0,2026-09-08 08:00:00
8,10kV梧桐线#02分段开关,分段负荷开关FTU,正常,短路:B相,低电压:B相,10.15,25.0,0.0,0.003,680.0,-85.0,10.18,26.0,120.0,2026-09-08 09:20:00
9,10kV梧桐线#04联络开关,联络开关FTU,正常,正常,正常,10.08,20.0,0.0,6.5,20.0,-120.0,10.1,20.0,120.0,2026-09-08 09:20:00
10,10kV梧桐线#06末端环网柜,环网柜DTU,正常,正常,正常,10.05,12.0,0.0,8.7,12.0,-120.0,10.08,12.0,120.0,2026-09-08 09:20:00
11,10kV梧桐线商业支#01开关,分支分段开关FTU,正常,正常,正常,10.06,12.0,0.0,8.75,12.0,-120.0,10.09,12.0,120.0,2026-09-08 09:20:00
12,10kV梧桐线学校支#01开关,分支分段开关FTU,正常,正常,正常,10.12,16.0,0.0,10.14,15.8,-120.0,10.16,16.2,120.0,2026-09-08 09:20:00
13,10kV梧桐线学校支#03箱变,箱变TTU,正常,正常,正常,10.1,10.0,0.0,10.12,9.8,-120.0,10.15,10.1,120.0,2026-09-08 09:20:00
14,10kV梧桐线学校支#04分支开关,分支分段开关FTU,正常,正常,正常,10.11,9.0,0.0,10.13,8.9,-120.0,10.16,9.1,120.0,2026-09-08 09:20:00
15,10kV梧桐线学校支#01开关,分支分段开关FTU,正常,短路:A相,低电压:A相,2.5,350.0,40.0,10.15,30.0,-120.0,10.2,30.0,120.0,2026-09-08 10:35:00
16,10kV梧桐线学校支#03箱变,箱变TTU,正常,正常,正常,7.2,10.5,0.0,10.05,10.0,-120.0,10.1,10.2,120.0,2026-09-08 10:35:00
17,10kV梧桐线学校支#04分支开关,分支分段开关FTU,正常,正常,正常,10.12,9.0,0.0,10.14,8.9,-120.0,10.16,9.1,120.0,2026-09-08 10:35:00
18,10kV梧桐线#02分段开关,分段负荷开关FTU,正常,正常,正常,10.1,18.0,0.0,10.08,17.6,-120.0,10.15,18.3,120.0,2026-09-08 10:35:00
19,10kV梧桐线#04联络开关,联络开关FTU,正常,正常,正常,10.1,20.0,0.0,10.09,20.0,-120.0,10.14,20.0,120.0,2026-09-08 10:35:00
20,10kV梧桐线#06末端环网柜,环网柜DTU,正常,正常,正常,10.09,12.0,0.0,10.07,12.0,-120.0,10.13,12.0,120.0,2026-09-08 10:35:00
21,10kV梧桐线商业支#01开关,分支分段开关FTU,正常,正常,正常,10.09,12.0,0.0,10.08,12.0,-120.0,10.13,12.0,120.0,2026-09-08 10:35:00
22,10kV梧桐线#04联络开关,联络开关FTU,正常,短路:C相,低电压:C相,10.18,22.0,0.0,10.12,21.5,-120.0,2.8,520.0,100.0,2026-09-08 11:50:00
23,10kV梧桐线#06末端环网柜,环网柜DTU,正常,正常,正常,10.05,12.0,0.0,10.02,12.0,-120.0,10.08,12.0,120.0,2026-09-08 11:50:00
24,10kV梧桐线商业支#01开关,分支分段开关FTU,正常,正常,正常,10.06,12.0,0.0,10.03,12.0,-120.0,7.1,11.5,95.0,2026-09-08 11:50:00
25,10kV梧桐线#02分段开关,分段负荷开关FTU,正常,正常,正常,10.15,18.0,0.0,10.16,17.6,-120.0,10.18,18.3,120.0,2026-09-08 11:50:00
26,10kV梧桐线学校支#01开关,分支分段开关FTU,正常,正常,正常,10.12,16.0,0.0,10.14,15.8,-120.0,10.16,16.2,120.0,2026-09-08 11:50:00
27,10kV梧桐线学校支#03箱变,箱变TTU,正常,正常,正常,10.1,10.0,0.0,10.12,9.8,-120.0,10.15,10.1,120.0,2026-09-08 11:50:00
28,10kV梧桐线学校支#04分支开关,分支分段开关FTU,正常,正常,正常,10.11,9.0,0.0,10.13,8.9,-120.0,10.17,9.1,120.0,2026-09-08 11:50:00
29,10kV梧桐线#02分段开关,分段负荷开关FTU,正常,短路:B相,低电压:B相,10.1,20.0,0.0,0.05,380.0,-80.0,10.12,20.0,120.0,2026-09-08 13:10:00
30,10kV梧桐线商业支#01开关,分支分段开关FTU,正常,短路:B相,低电压:B相,10.05,15.0,0.0,0.02,350.0,-80.0,10.08,15.0,120.0,2026-09-08 13:10:00
