line,from_id,to_id,edge_label
松坪线,SOURCE,SP-0001,SOURCE -> 2
松坪线,SP-0001,SP-0002,2 -> 27
松坪线,SP-0002,SP-0003,27 -> 27.3
松坪线,SP-0003,SP-0004,27.3 -> 27.3.57
松坪线,SP-0004,SP-0005,27.3.57 -> 27.3.84
松坪线,SP-0005,SP-0006,27.3.84 -> 27.3.88
松坪线,SP-0006,SP-0007,27.3.88 -> 27.3.88.2.2.1
松坪线,SP-0007,SP-0008,27.3.88.2.2.1 -> 27.3.88.2.2.9
松坪线,SP-0006,SP-0009,27.3.88 -> 27.3.106
松坪线,SP-0009,SP-0010,27.3.106 -> 27.3.115
松坪线,SP-0010,SP-0011,27.3.115 -> 27.3.129
松坪线,SP-0011,SP-0012,27.3.129 -> 27.3.146
松坪线,SP-0003,SP-0013,27.3 -> 27.6.2
松坪线,SP-0002,SP-0014,27 -> 33
松坪线,SP-0014,SP-0015,33 -> 45
松坪线,SP-0015,SP-0016,45 -> 51+1
松坪线,SP-0016,SP-0017,51+1 -> 66+1
松坪线,SP-0017,SP-0018,66+1 -> 74.3
松坪线,SP-0017,SP-0019,66+1 -> 115
火龙线,SOURCE,HL-0001,SOURCE -> 3
火龙线,HL-0001,HL-0002,3 -> 7
火龙线,HL-0002,HL-0003,7 -> 13
火龙线,HL-0003,HL-0004,13 -> 18
火龙线,HL-0004,HL-0005,18 -> 18.25
火龙线,HL-0005,HL-0006,18.25 -> 18.35
火龙线,HL-0004,HL-0007,18 -> 19
火龙线,HL-0007,HL-0008,19 -> 22
火龙线,HL-0008,HL-0009,22 -> 25
火龙线,HL-0009,HL-0010,25 -> 32
火龙线,HL-0010,HL-0011,32 -> 40
火龙线,HL-0011,HL-0012,40 -> 45
火龙线,HL-0012,HL-0013,45 -> 64
火龙线,HL-0013,HL-0014,64 -> 67
火龙线,HL-0014,HL-0015,67 -> 67.7
火龙线,HL-0014,HL-0016,67 -> 71
火龙线,HL-0016,HL-0017,71 -> 80
火龙线,HL-0017,HL-0018,80 -> 81
火龙线,HL-0018,HL-0019,81 -> 82
火龙线,HL-0019,HL-0020,82 -> 85
火龙线,HL-0020,HL-0021,85 -> 90
火龙线,HL-0021,HL-0022,90 -> 96
火龙线,HL-0022,HL-0023,96 -> 100
火龙线,HL-0023,HL-0024,100 -> 108
火龙线,HL-0024,HL-0025,108 -> 114.19
