line,from_id,to_id,edge_label,length_km_est,conductor_type,r_ohm,x_ohm,r0_ohm,x0_ohm,c1_uF,c0_uF
松坪线,SOURCE,SP-0001,SOURCE -> 2,0.526,干线(正序R1=0.13欧姆/km),0.0684,0.2015,0.1328,0.7581,0.005679,0.003786
松坪线,SP-0001,SP-0002,2 -> 27,6.573,干线(正序R1=0.13欧姆/km),0.8545,2.5192,1.6596,9.4758,0.070986,0.047324
松坪线,SP-0002,SP-0003,27 -> 27.3,0.526,支线(正序R1=0.16欧姆/km),0.0841,0.2114,0.1328,0.7581,0.005679,0.003786
松坪线,SP-0003,SP-0004,27.3 -> 27.3.57,0.526,支线(正序R1=0.16欧姆/km),0.0841,0.2114,0.1328,0.7581,0.005679,0.003786
松坪线,SP-0004,SP-0005,27.3.57 -> 27.3.84,7.099,支线(正序R1=0.16欧姆/km),1.1358,2.8545,1.7924,10.2338,0.076665,0.05111
松坪线,SP-0005,SP-0006,27.3.84 -> 27.3.88,1.052,支线(正序R1=0.16欧姆/km),0.1683,0.4229,0.2655,1.5161,0.011358,0.007572
松坪线,SP-0006,SP-0007,27.3.88 -> 27.3.88.2.2.1,0.526,支线(正序R1=0.16欧姆/km),0.0841,0.2114,0.1328,0.7581,0.005679,0.003786
松坪线,SP-0007,SP-0008,27.3.88.2.2.1 -> 27.3.88.2.2.9,2.103,支线(正序R1=0.16欧姆/km),0.3365,0.8458,0.5311,3.0322,0.022715,0.015144
松坪线,SP-0006,SP-0009,27.3.88 -> 27.3.106,4.732,支线(正序R1=0.16欧姆/km),0.7572,1.903,1.1949,6.8226,0.05111,0.034073
松坪线,SP-0009,SP-0010,27.3.106 -> 27.3.115,2.366,支线(正序R1=0.16欧姆/km),0.3786,0.9515,0.5975,3.4113,0.025555,0.017037
松坪线,SP-0010,SP-0011,27.3.115 -> 27.3.129,3.681,支线(正序R1=0.16欧姆/km),0.5889,1.4801,0.9294,5.3064,0.039752,0.026501
