event_id,line,time,fault_types,alarmed_points,frontier,candidate_sections,confidence,note
1,松坪线,2024-05-27 16:58:46,短路:A相接地(故障):B相 C相,66+1,66+1,74.3 / 115,medium,存在 2 条候选区段
2,松坪线,2024-07-10 01:03:55,短路:A相 B相 C相,27.3.88.2.2.9,27.3.88.2.2.9,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
3,松坪线,2024-09-30 10:10:59,短路:A相 B相,66+1,66+1,74.3 / 115,medium,存在 2 条候选区段
4,松坪线,2026-06-11 10:42:08,短路:A相 B相 C相; 短路:B相 C相,"66+1, 74.3",74.3,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
5,松坪线,2026-07-14 18:43:32,短路:B相 C相,"27.3.84, 27.3.88, 27.3.88.2.2.1, 27.3.88.2.2.9",27.3.88.2.2.9,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
6,松坪线,2026-07-15 07:22:28,短路:A相 B相; 短路:B相,"27.3.88.2.2.1, 27.3.88.2.2.9",27.3.88.2.2.9,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
7,火龙线,2024-03-27 15:28:30,短路:A相 B相 C相,"18, 18.25",18.25,18.35,high,单一候选区段，较有把握
8,火龙线,2024-06-07 21:20:53,短路:A相,"81, 85",85,90,high,单一候选区段，较有把握
9,火龙线,2024-06-07 21:23:55,短路:B相 C相,81,81,82,high,单一候选区段，较有把握
10,火龙线,2024-06-09 15:03:33,短路:B相,114.19,114.19,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
11,火龙线,2024-06-19 02:24:52,短路:B相,18.35,18.35,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
12,火龙线,2024-06-21 18:29:20,短路:B相,96,96,100,high,单一候选区段，较有把握
13,火龙线,2024-07-20 06:20:13,短路: C相; 短路:B相,"19, 22, 3",22,25,high,单一候选区段，较有把握
14,火龙线,2024-12-10 17:11:59,短路:B相,"18, 18.25, 19",19 / 18.25,22 / 18.35,medium,存在 2 条候选区段
15,火龙线,2025-09-17 10:06:58,短路:A相,67.7,67.7,(无),low,该分支已无更下游监测点，无法进一步缩小，建议对该点下游全线巡查
