raw_name,line,clean_id,orig_pole
10kV松坪线#2大,松坪线,SP-0001,2
10kV松坪线#27小,松坪线,SP-0002,27
10kV松坪线#27.3大,松坪线,SP-0003,27.3
10kV松坪线#27.3.57大,松坪线,SP-0004,27.3.57
10kV松坪线#27.3.84 大,松坪线,SP-0005,27.3.84
10kV松坪线#27.3.88小,松坪线,SP-0006,27.3.88
10kV松平线27.3.88.2.2.1小,松坪线,SP-0007,27.3.88.2.2.1
10kV松平线27.3.88.2.2.9大,松坪线,SP-0008,27.3.88.2.2.9
10kV松坪线#27.3.106 小,松坪线,SP-0009,27.3.106
10kV松坪线#27.3.115 大,松坪线,SP-0010,27.3.115
10kV松坪线#27.3.129 小,松坪线,SP-0011,27.3.129
10kV松坪线#27.3.146小,松坪线,SP-0012,27.3.146
10kV松坪线#27.6.2大,松坪线,SP-0013,27.6.2
10kV松坪线#33大,松坪线,SP-0014,33
10kV松坪线#45大,松坪线,SP-0015,45
10kV松坪线#51+1小,松坪线,SP-0016,51+1
10kV松坪线#66+1小,松坪线,SP-0017,66+1
10kV松坪线#74.3支,松坪线,SP-0018,74.3
10kV松坪线#115小,松坪线,SP-0019,115
10KkV火龙线#3小,火龙线,HL-0001,3
10kV火龙线#7大,火龙线,HL-0002,7
10kV火龙线#13小,火龙线,HL-0003,13
10kV火龙线18支,火龙线,HL-0004,18
10kV火龙线#18.25小,火龙线,HL-0005,18.25
10kV火龙线#18.35小,火龙线,HL-0006,18.35
10kV火龙线19小,火龙线,HL-0007,19
10kV火龙线#22大,火龙线,HL-0008,22
10kV火龙线#25小,火龙线,HL-0009,25
	 10kV火龙线#32小,火龙线,HL-0010,32
10kV火龙线#40小,火龙线,HL-0011,40
10kV火龙线45大,火龙线,HL-0012,45
10kV火龙线#64小,火龙线,HL-0013,64
10kV火龙线#67大,火龙线,HL-0014,67
10kV火龙线#67.7支,火龙线,HL-0015,67.7
10kV火龙线#71小,火龙线,HL-0016,71
10 kV火龙线#80大,火龙线,HL-0017,80
10kV火龙线#81小,火龙线,HL-0018,81
10kV火龙线81大,火龙线,HL-0018,81
10kV火龙线#82大,火龙线,HL-0019,82
10kV火龙线#85大,火龙线,HL-0020,85
10kV火龙线#90大,火龙线,HL-0021,90
10kV火龙线#96小,火龙线,HL-0022,96
10kV火龙线#100大,火龙线,HL-0023,100
10kV火龙线#108小,火龙线,HL-0024,108
10kV火龙线#114.19大,火龙线,HL-0025,114.19
