line,clean_id,orig_pole,avg_VA_kV,through_IA_A,local_IA_A,local_SA_kVA,avg_VB_kV,through_IB_A,local_IB_A,local_SB_kVA,avg_VC_kV,through_IC_A,local_IC_A,local_SC_kVA,local_S_total_kVA,negative_flag
松坪线,SP-0001,2,5.679,115.02,55.079,312.792,5.886,49.99,0.1,0.589,5.802,57.88,0.1,0.58,313.96,True
松坪线,SP-0002,27,5.849,59.94,0.1,0.585,5.875,54.64,0.1,0.587,5.825,59.4,0.1,0.583,1.75,True
松坪线,SP-0003,27.3,5.729,15.94,0.1,0.573,5.767,13.12,0.1,0.577,5.681,13.53,0.1,0.568,1.72,True
松坪线,SP-0004,27.3.57,3.917,70.84,0.1,0.392,4.385,66.92,0.1,0.439,4.681,63.37,0.1,0.468,1.3,True
松坪线,SP-0005,27.3.84,5.785,115.51,0.633,3.662,5.942,117.47,0.1,0.594,5.899,121.68,4.556,26.876,31.13,True
松坪线,SP-0006,27.3.88,5.667,114.88,0.1,0.567,5.838,119.15,0.1,0.584,5.804,117.13,0.1,0.58,1.73,True
松坪线,SP-0007,27.3.88.2.2.1,5.679,63.08,0.1,0.568,5.87,67.0,0.372,2.184,5.72,68.28,0.1,0.572,3.32,True
松坪线,SP-0008,27.3.88.2.2.9,5.76,68.93,68.926,397.025,5.832,66.63,66.628,388.542,5.889,78.86,78.863,464.456,1250.02,False
松坪线,SP-0009,27.3.106,5.671,51.82,0.1,0.567,5.867,53.01,0.1,0.587,5.335,53.46,0.1,0.533,1.69,True
松坪线,SP-0010,27.3.115,5.888,56.79,0.1,0.589,5.953,58.97,4.018,23.917,5.758,61.01,6.154,35.432,59.94,True
松坪线,SP-0011,27.3.129,5.893,62.81,13.878,81.778,5.825,54.95,2.274,13.246,5.671,54.86,4.513,25.595,120.62,False
松坪线,SP-0012,27.3.146,5.906,48.94,48.935,289.009,5.697,52.67,52.674,300.093,0.053,50.34,50.343,2.649,591.75,False
松坪线,SP-0013,27.6.2,5.826,13.63,13.628,79.402,5.935,10.74,10.745,63.773,5.878,11.25,11.251,66.13,209.31,False
松坪线,SP-0014,33,5.701,48.08,3.669,20.916,5.803,46.47,4.159,24.134,5.653,48.53,4.643,26.246,71.3,False
松坪线,SP-0015,45,5.696,44.41,0.1,0.57,5.849,42.31,0.1,0.585,5.79,43.89,0.1,0.579,1.73,True
松坪线,SP-0016,51+1,5.716,45.54,18.218,104.137,5.762,46.18,19.993,115.198,5.797,45.24,16.284,94.402,313.74,False
松坪线,SP-0017,66+1,5.827,27.32,4.562,26.584,5.819,26.19,4.656,27.093,5.828,28.95,5.833,33.992,87.67,False
松坪线,SP-0018,74.3,5.637,13.33,13.327,75.122,2.993,13.92,13.922,41.673,5.714,14.31,14.305,81.741,198.54,False
松坪线,SP-0019,115,5.245,9.43,9.435,49.491,5.641,7.61,7.609,42.923,5.615,8.82,8.815,49.5,141.91,False
火龙线,HL-0001,3,3.609,105.85,6.944,25.059,5.07,112.62,6.641,33.67,4.906,107.79,0.1,0.491,59.22,True
火龙线,HL-0002,7,5.684,98.91,0.1,0.568,5.736,105.98,0.1,0.574,5.716,108.35,2.077,11.872,13.01,True
火龙线,HL-0003,13,5.673,102.24,75.383,427.645,5.638,110.05,83.602,471.36,5.783,106.27,82.305,475.973,1374.98,False
火龙线,HL-0004,18,3.764,26.85,0.1,0.376,4.638,26.44,0.1,0.464,4.335,23.96,0.1,0.433,1.27,True
火龙线,HL-0005,18.25,5.362,29.27,0.365,1.957,4.758,27.79,0.1,0.476,5.182,26.97,0.1,0.518,2.95,True
火龙线,HL-0006,18.35,5.496,28.91,28.905,158.851,5.17,27.9,27.901,144.257,5.393,28.1,28.102,151.546,454.65,False
火龙线,HL-0007,19,4.439,82.39,22.777,101.115,5.202,83.9,19.376,100.799,5.856,77.34,15.323,89.734,291.65,False
火龙线,HL-0008,22,3.6,59.62,10.593,38.132,3.61,64.53,17.274,62.354,3.649,62.02,12.797,46.695,147.18,False
火龙线,HL-0009,25,4.02,49.02,0.375,1.507,3.192,47.25,0.466,1.487,5.755,49.22,0.197,1.134,4.13,False
火龙线,HL-0010,32,5.797,48.65,1.386,8.034,5.825,46.79,0.429,2.499,5.407,49.03,0.1,0.541,11.07,True
火龙线,HL-0011,40,4.895,47.26,0.1,0.49,4.037,46.36,0.1,0.404,4.605,90.33,38.991,179.547,180.44,True
火龙线,HL-0012,45,5.677,49.22,8.677,49.262,5.785,49.97,11.661,67.463,5.768,51.34,9.953,57.406,174.13,False
火龙线,HL-0013,64,5.844,40.54,10.177,59.476,4.24,38.31,10.158,43.067,4.167,41.38,14.09,58.71,161.25,False
火龙线,HL-0014,67,5.708,30.37,0.1,0.571,5.658,28.16,0.1,0.566,5.58,27.29,0.1,0.558,1.7,True
火龙线,HL-0015,67.7,5.538,8.89,8.889,49.23,5.786,6.36,6.359,36.79,4.566,8.22,8.222,37.541,123.56,False
火龙线,HL-0016,71,5.779,28.42,12.862,74.324,5.811,28.39,10.348,60.137,5.788,30.15,11.741,67.954,202.42,False
火龙线,HL-0017,80,5.499,15.56,0.1,0.55,5.658,18.04,0.564,3.191,5.525,18.41,0.1,0.553,4.29,True
火龙线,HL-0018,81,5.052,16.53,1.299,6.562,5.866,17.48,1.648,9.667,5.763,19.47,1.984,11.434,27.66,False
火龙线,HL-0019,82,5.749,15.23,0.1,0.575,5.851,15.83,0.1,0.585,5.74,17.49,0.1,0.574,1.73,True
火龙线,HL-0020,85,5.692,16.43,0.992,5.646,5.801,17.55,1.305,7.57,5.803,18.82,2.493,14.468,27.68,False
火龙线,HL-0021,90,5.41,15.44,1.251,6.768,5.7,16.24,3.137,17.88,5.609,16.33,1.826,10.243,34.89,False
火龙线,HL-0022,100,5.61,14.19,0.1,0.561,5.583,13.11,0.1,0.558,5.785,14.5,0.1,0.579,1.7,True
火龙线,HL-0023,108,5.717,14.57,6.109,34.923,5.774,14.01,6.213,35.873,5.801,15.71,7.605,44.119,114.91,False
火龙线,HL-0024,114.19,5.489,8.46,8.465,46.464,5.233,7.8,7.798,40.807,5.695,8.11,8.107,46.171,133.44,False
