line,clean_id,orig_pole,depth,parent_clean_id,sides_observed
松坪线,SP-0001,2,0,SOURCE,大
松坪线,SP-0002,27,1,SP-0001,小
松坪线,SP-0003,27.3,2,SP-0002,大
松坪线,SP-0004,27.3.57,3,SP-0003,大
松坪线,SP-0005,27.3.84,4,SP-0004,大
松坪线,SP-0006,27.3.88,5,SP-0005,小
松坪线,SP-0007,27.3.88.2.2.1,6,SP-0006,小
松坪线,SP-0008,27.3.88.2.2.9,7,SP-0007,大
松坪线,SP-0009,27.3.106,6,SP-0006,小
松坪线,SP-0010,27.3.115,7,SP-0009,大
松坪线,SP-0011,27.3.129,8,SP-0010,小
松坪线,SP-0012,27.3.146,9,SP-0011,小
松坪线,SP-0013,27.6.2,3,SP-0003,大
松坪线,SP-0014,33,2,SP-0002,大
松坪线,SP-0015,45,3,SP-0014,大
松坪线,SP-0016,51+1,4,SP-0015,小
松坪线,SP-0017,66+1,5,SP-0016,小
松坪线,SP-0018,74.3,6,SP-0017,-
松坪线,SP-0019,115,6,SP-0017,小
火龙线,HL-0001,3,0,SOURCE,小
火龙线,HL-0002,7,1,HL-0001,大
火龙线,HL-0003,13,2,HL-0002,小
火龙线,HL-0004,18,3,HL-0003,-
火龙线,HL-0005,18.25,4,HL-0004,小
火龙线,HL-0006,18.35,5,HL-0005,小
火龙线,HL-0007,19,4,HL-0004,小
火龙线,HL-0008,22,5,HL-0007,大
火龙线,HL-0009,25,6,HL-0008,小
火龙线,HL-0010,32,7,HL-0009,小
火龙线,HL-0011,40,8,HL-0010,小
火龙线,HL-0012,45,9,HL-0011,大
火龙线,HL-0013,64,10,HL-0012,小
火龙线,HL-0014,67,11,HL-0013,大
火龙线,HL-0015,67.7,12,HL-0014,-
火龙线,HL-0016,71,12,HL-0014,小
火龙线,HL-0017,80,13,HL-0016,大
火龙线,HL-0018,81,14,HL-0017,大/小
火龙线,HL-0019,82,15,HL-0018,大
火龙线,HL-0020,85,16,HL-0019,大
火龙线,HL-0021,90,17,HL-0020,大
火龙线,HL-0022,96,18,HL-0021,小
火龙线,HL-0023,100,19,HL-0022,大
火龙线,HL-0024,108,20,HL-0023,小
火龙线,HL-0025,114.19,21,HL-0024,大
